"UNITID","GBA4RTT","GRRTM","GRRTW"
100654,8,23,36
100663,40,59,66
100690,50,NA,33
100706,27,55,61
100724,16,27,37
100751,50,68,73
100830,9,29,37
100858,51,76,82
100937,61,63,77
101116,0,13,10
101189,15,22,45
101365,0,71,11
101435,41,42,59
101453,33,100,0
101480,20,33,49
101541,26,NA,36
101587,21,29,39
101675,13,19,34
101693,38,57,53
101709,33,43,61
101879,21,44,52
101912,29,37,61
102049,65,73,78
102058,1,0,2
102094,25,41,50
102234,43,48,61
102270,19,13,40
102298,12,34,34
102368,25,40,53
102377,29,41,58
102553,12,26,31
102580,100,40,40
102614,25,38,31
102632,13,27,25
102669,41,29,60
102845,0,41,45
104090,32,33,40
104151,49,61,66
104179,47,61,68
104188,17,24,8
104586,42,66,76
104717,35,40,41
105330,41,51,61
105589,20,27,34
105899,36,42,56
106245,25,41,44
106306,5,7,10
106342,46,50,57
106397,49,62,70
106412,17,26,42
106458,35,47,58
106467,25,35,42
106485,13,29,30
106704,28,37,48
106713,19,27,25
106810,6,19,26
107044,48,61,74
107071,24,36,41
107080,66,63,78
107141,62,74,70
107512,57,56,69
107558,39,49,56
107600,35,54,39
107877,33,37,40
107983,29,42,45
108092,21,29,40
108232,7,38,51
109651,28,61,73
109785,48,64,70
110060,8,15,39
110097,57,72,75
110361,43,62,64
110370,46,71,60
110404,84,93,94
110413,61,61,75
110422,51,78,87
110468,0,14,17
110486,16,35,48
110495,19,54,61
110510,14,52,57
110529,23,67,73
110538,30,64,70
110547,8,39,48
110556,16,50,61
110565,23,62,74
110574,13,44,53
110583,26,70,76
110592,8,46,55
110608,15,48,61
110617,12,50,58
110635,76,91,94
110644,63,84,88
110653,69,82,86
110662,80,90,93
110671,56,73,79
110680,65,85,89
110705,68,81,86
110714,52,73,76
110918,0,0,0
111081,54,56,65
111188,51,66,70
111948,72,77,83
111966,50,NA,75
112075,56,55,68
112084,39,50,56
112260,85,90,92
112394,27,52,60
112570,48,48,55
113582,56,50,56
113698,63,65,72
114813,66,65,68
115409,86,94,89
115728,34,47,49
115755,17,44,53
115773,33,29,56
116846,100,100,100
117104,26,37,54
117140,57,64,81
117168,27,56,58
117557,78,67,100
117575,0,0,NA
117627,24,49,46
117751,55,66,72
117946,73,76,83
118541,11,26,38
118693,45,45,79
118888,47,NA,57
119173,47,63,65
119270,16,61,70
119605,10,36,27
119775,14,50,33
120166,60,63,50
120184,44,49,54
120254,80,84,88
120403,55,48,75
120537,10,61,49
120838,50,100,0
120865,32,55,58
120883,47,66,75
121150,79,84,87
121257,78,81,88
121309,68,71,77
121345,89,94,93
121691,67,70,81
122409,39,69,75
122436,66,79,83
122454,39,32,55
122506,58,54,67
122597,22,53,58
122612,66,72,77
122728,51,47,73
122755,15,59,69
122931,87,89,94
123165,86,NA,90
123280,38,60,75
123457,38,35,49
123554,69,71,83
123572,33,56,65
123651,51,53,61
123952,0,90,100
123961,78,90,93
124292,78,84,84
124487,0,0,17
125231,33,NA,33
125727,75,75,81
125763,66,64,78
125897,28,51,56
126076,49,49,NA
126182,19,25,36
126562,24,47,55
126580,25,43,47
126614,46,65,74
126669,46,50,57
126678,80,79,86
126711,0,23,28
126775,62,82,85
126818,45,66,73
126827,20,22,30
127060,67,72,81
127185,28,40,43
127556,22,30,38
127565,10,22,35
127653,35,24,45
127714,0,36,33
127741,31,46,56
127918,52,61,65
127945,21,50,38
128106,21,29,42
128328,84,85,86
128391,28,48,56
128498,52,60,63
128586,0,40,NA
